id,created_at,favorite_count,retweet_count,sentiment,change
1357147935784398848,2021-02-04,7530,647,0.4454545454545455,-5.010009999999966
1356807508975845381,2021-02-03,20069,1745,0.125,-22.330017999999995
1356699321840721920,2021-02-02,35246,9035,0.13636363636363635,28.10998500000005
1356354009477439490,2021-02-01,50492,3654,-0.2,25.52001999999993
1356354006814060547,2021-02-01,76804,9888,0.125,25.52001999999993
1356279692202897408,2021-02-01,12024,921,-0.075,25.52001999999993
1356063929462472709,2021-02-01,20956,1293,0.3,25.52001999999993
1353503007833374720,2021-01-25,28751,2721,0.2261904761904762,25.799987999999985
1352672040164093955,2021-01-22,17017,1726,0.25,12.330016999999998
1351894372426498049,2021-01-20,24411,2990,0.4,-8.28997800000002
1351880155145273351,2021-01-20,16472,1781,0.3125,-8.28997800000002
1351870538805743621,2021-01-20,6569,685,0.13636363636363635,-8.28997800000002
1349528716951474177,2021-01-14,47338,3126,0.21666666666666667,1.6099850000000515
1349527776148144129,2021-01-14,14528,583,0.16666666666666666,1.6099850000000515
1348995595080409091,2021-01-12,54817,3286,0.5,18.44000200000005
1348990716148518915,2021-01-12,7856,675,-0.05,18.44000200000005
1347609224222674944,2021-01-08,25908,2354,0.04166666666666667,24.020020000000045
1347374803787792386,2021-01-08,29495,3655,0.4,24.020020000000045
1347368622264438785,2021-01-08,14272,1371,0.25,24.020020000000045
1341088596598525952,2020-12-21,14187,1337,0.25,-16.380004999999983
1339604416681263105,2020-12-17,6232,566,0.17222222222222222,27.71002199999998
1339587994903187458,2020-12-17,6626,493,-0.0625,27.71002199999998
1339575086467088390,2020-12-17,3497,395,0.13636363636363635,27.71002199999998
1337460753591279616,2020-12-11,9278,587,-0.051851851851851864,-5.020019999999931
1337418003399364614,2020-12-11,7752,481,0.41818181818181815,-5.020019999999931
1336777137391456256,2020-12-09,35019,8724,0.13636363636363635,-49.210022000000095
1336438761345839104,2020-12-08,15272,2279,0.13636363636363635,24.369995000000017
1336103465831944192,2020-12-08,4018,160,-0.027777777777777773,24.369995000000017
1336103464867307520,2020-12-08,7127,399,0.3,24.369995000000017
1336045549833732097,2020-12-07,30629,2623,0.175,36.840026999999964
1336019551839006723,2020-12-07,23695,1202,0.5,36.840026999999964
1336010971903496194,2020-12-07,13544,1002,0.1787878787878788,36.840026999999964
1335793751973711874,2020-12-07,29393,2102,0.5,36.840026999999964
1334502622649192448,2020-12-03,16362,1071,0.04166666666666667,3.359984999999938
1334502617465069575,2020-12-03,4963,223,0.19444444444444445,3.359984999999938
1334502616374550529,2020-12-03,9524,685,0.15,3.359984999999938
1331424769632215040,2020-11-25,22796,2103,0.4,23.94000200000005
1331423180431396864,2020-11-25,19766,1558,0.4375,23.94000200000005
1331413101636317185,2020-11-25,4611,457,0.13636363636363635,23.94000200000005
1330703923259211776,2020-11-23,12162,772,0.14814814814814814,18.34997599999997
1328779234945478663,2020-11-17,12618,706,-0.0666666666666667,-18.56002799999999
1328551729026088960,2020-11-17,119465,7644,0.5,-18.56002799999999
1328545562199617536,2020-11-17,6913,697,0.2,-18.56002799999999
1328535175270002691,2020-11-17,20351,1901,0.2681818181818182,-18.56002799999999
1328422934377943042,2020-11-16,44447,7237,0.13636363636363635,-0.8399970000000394
1328372838747705344,2020-11-16,34641,4224,0.125,-0.8399970000000394
1328135982164545536,2020-11-16,22219,3159,0.23750000000000002,-0.8399970000000394
1328135198173630464,2020-11-16,33290,3718,0.3125,-0.8399970000000394
1328134949837312001,2020-11-16,13730,1454,0.3,-0.8399970000000394
1328132314732265472,2020-11-16,9699,698,0.25,-0.8399970000000394
1328126463833358336,2020-11-16,12315,995,0.8,-0.8399970000000394
1326650380973797376,2020-11-11,9915,1009,0.2833333333333333,0.6799929999999677
1326188525281140736,2020-11-10,68817,6749,-0.3,-9.73001099999999
1325931233784680448,2020-11-09,44086,4939,-0.3,-18.239989999999977
1324515570218278912,2020-11-06,27981,2000,0.4,-6.149993999999992
1324495232352677889,2020-11-05,19827,1632,0.375,9.790008
1319311929442062336,2020-10-22,16120,800,0.08148148148148147,-16.130003999999985
1319303598421913600,2020-10-22,5408,552,0.13636363636363635,-16.130003999999985
1316417597257129985,2020-10-14,10233,1482,0.1714285714285714,11.51998900000001
1315743656716853253,2020-10-12,16595,1299,0.2708333333333333,0.2999879999999848
1315743645845254145,2020-10-12,23118,2029,0.08333333333333333,0.2999879999999848
1313974379999494144,2020-10-07,72284,10306,0.08333333333333333,5.429992999999968
1313466792233193472,2020-10-06,81130,9702,-0.16666666666666666,-9.809998000000007
1313457354277490688,2020-10-06,46460,4308,0.4,-9.809998000000007
1313452945615196160,2020-10-06,11875,1128,-0.1875,-9.809998000000007
1313443642472685573,2020-10-06,20345,2531,0.375,-9.809998000000007
1313433646284513281,2020-10-06,4319,542,0.13636363636363635,-9.809998000000007
1313201807187828737,2020-10-05,4218,239,0.25,2.329987000000017
1313201804256055296,2020-10-05,10097,855,0.075,2.329987000000017
1313077784994930688,2020-10-05,11407,964,-0.14027777777777778,2.329987000000017
1311658269333618691,2020-10-01,8581,832,0.0639520202020202,7.399993999999992
1311649204507299841,2020-10-01,3646,563,0.13636363636363635,7.399993999999992
1311142615723638784,2020-09-30,9679,1358,-0.125,7.690003000000047
1310985935014690816,2020-09-29,23525,2239,0.39166666666666666,3.0700069999999755
1310962995321696256,2020-09-29,12682,1046,-0.3,3.0700069999999755
1310962850601545728,2020-09-29,19556,1820,0.16666666666666666,3.0700069999999755
1310961633200689154,2020-09-29,5492,629,0.25625,3.0700069999999755
1310585610688540675,2020-09-28,10836,975,0.0639520202020202,-3.419983000000002
1310578066054234113,2020-09-28,4342,601,0.13636363636363635,-3.419983000000002
1309605017037369344,2020-09-25,3878,231,0.3,13.86999499999996
1309605013899980801,2020-09-25,29429,2825,0.39444444444444443,13.86999499999996
1309443268233445376,2020-09-25,8219,634,0.3,13.86999499999996
