id,created_at,favorite_count,retweet_count,sentiment
565309022392565760,2015-02-11 00:39:08+00:00,411,213,0.16666666666666666
565293123728072708,2015-02-10 23:35:57+00:00,267,192,0.0
565285684182016000,2015-02-10 23:06:24+00:00,167,274,0.08
565247219188527104,2015-02-10 20:33:33+00:00,343,432,0.0
565227382592663552,2015-02-10 19:14:44+00:00,337,278,-0.1
564904434270892032,2015-02-09 21:51:27+00:00,727,554,0.1
564807936870842368,2015-02-09 15:28:00+00:00,548,780,0.0
564530365722001408,2015-02-08 21:05:02+00:00,522,675,0.0
564478553329508352,2015-02-08 17:39:09+00:00,1156,1294,0.13636363636363635
563448348770721792,2015-02-05 21:25:29+00:00,170,136,0.0
563142973420875776,2015-02-05 01:12:02+00:00,132,89,0.0
562313940982456321,2015-02-02 18:17:45+00:00,1467,1185,0.06666666666666667
560276530178170880,2015-01-28 03:21:48+00:00,505,354,0.0625
560150341946052608,2015-01-27 19:00:23+00:00,1800,1703,-0.2
559847985442336768,2015-01-26 22:58:55+00:00,646,478,0.0
559758566530109440,2015-01-26 17:03:36+00:00,316,226,0.13636363636363635
559068246846894080,2015-01-24 19:20:31+00:00,374,281,0.35
557699776503107585,2015-01-21 00:42:42+00:00,605,305,0.8
556552795285774336,2015-01-17 20:45:01+00:00,256,157,0.25
556131313905070081,2015-01-16 16:50:12+00:00,8063,9936,0.0
555849939281281024,2015-01-15 22:12:07+00:00,209,114,0.0
554775829033795584,2015-01-12 23:03:59+00:00,259,184,0.0
554638011485257728,2015-01-12 13:56:21+00:00,793,613,0.0
554592927523942400,2015-01-12 10:57:12+00:00,406,335,0.0
554591558024953856,2015-01-12 10:51:45+00:00,238,185,0.007272727272727269
553875762122878977,2015-01-10 11:27:26+00:00,743,643,0.0
553855139090808832,2015-01-10 10:05:29+00:00,525,520,0.0
553853907261464576,2015-01-10 10:00:36+00:00,440,219,0.0
553850672987525121,2015-01-10 09:47:45+00:00,549,477,0.0
553843194480590848,2015-01-10 09:18:02+00:00,612,753,0.13636363636363635
553724598164791298,2015-01-10 01:26:46+00:00,1045,1219,0.13636363636363635
553632249875546113,2015-01-09 19:19:49+00:00,420,457,0.0
552876085743218688,2015-01-07 17:15:05+00:00,2451,1908,0.0
552432750377332736,2015-01-06 11:53:26+00:00,227,415,0.0
552409835107803137,2015-01-06 10:22:22+00:00,380,560,0.13636363636363635
552281302263926787,2015-01-06 01:51:38+00:00,837,840,0.13636363636363635
550454225395015680,2015-01-01 00:51:28+00:00,1814,1181,0.125
549729246156189696,2014-12-30 00:50:40+00:00,319,313,0.2
547171062342242308,2014-12-22 23:25:21+00:00,197,208,0.25
546084924764487683,2014-12-19 23:29:26+00:00,686,435,0.5833333333333334
545737552263921664,2014-12-19 00:29:06+00:00,562,239,0.1
545359355994861568,2014-12-17 23:26:17+00:00,373,304,0.0
545047818289696768,2014-12-17 02:48:21+00:00,865,1054,0.4
544975247678525440,2014-12-16 21:59:58+00:00,227,185,0.0
542848652285186048,2014-12-11 01:09:39+00:00,150,121,0.07142857142857142
542056085377409024,2014-12-08 20:40:16+00:00,602,413,0.0
540955551484481536,2014-12-05 19:47:08+00:00,715,589,0.0
540355752758489088,2014-12-04 04:03:45+00:00,99,63,0.4
538010536823119872,2014-11-27 16:44:42+00:00,536,192,1.0
537384829063421952,2014-11-25 23:18:22+00:00,336,341,0.0
537021497957548032,2014-11-24 23:14:37+00:00,156,87,0.10727272727272727
535574500285231104,2014-11-20 23:24:46+00:00,478,457,0.13636363636363635
534840566907809792,2014-11-18 22:48:22+00:00,74,41,0.0
532960092274978816,2014-11-13 18:16:02+00:00,250,194,0.5
532618212886585344,2014-11-12 19:37:32+00:00,401,260,0.0
532247723534057472,2014-11-11 19:05:20+00:00,360,180,0.45
527169543710322688,2014-10-28 18:46:28+00:00,312,221,0.125
526796683774930945,2014-10-27 18:04:51+00:00,537,331,-0.16666666666666666
526110426119950336,2014-10-25 20:37:54+00:00,912,614,0.0
526096250156773377,2014-10-25 19:41:35+00:00,377,236,0.04999999999999999
526011788257529856,2014-10-25 14:05:57+00:00,261,199,0.0
525805664379994112,2014-10-25 00:26:54+00:00,258,278,0.11818181818181818
525696827262132224,2014-10-24 17:14:25+00:00,92,76,0.35
524304045503033344,2014-10-20 21:00:00+00:00,159,102,0.0
523184275206582272,2014-10-17 18:50:26+00:00,301,160,0.2833333333333333
522821227635683329,2014-10-16 18:47:48+00:00,177,140,0.5
520262140205101057,2014-10-09 17:18:54+00:00,252,206,0.35
519639825696047104,2014-10-08 00:06:03+00:00,136,154,0.05
518194518676348928,2014-10-04 00:22:55+00:00,332,221,0.3625
516721839221927936,2014-09-29 22:51:01+00:00,390,304,0.3814814814814815
